Posição,Código INEP,Escola,Estado,Cidade,Dependência administrativa,Localização,Alunos,CH,CN,LC,MT,RD,Média
90,25120298,CENTRO PESSOENSE DE EDUCACAO - COLEGIO MOTIVA,Paraíba,João Pessoa,Privada,Urbana,199,638.88,620.14,606.35,745.68,861.71,694.55
103,25117963,CENTRO CAMPINENSE DE EDUCACAO LTDA COLEGIO MOTIVA,Paraíba,Campina Grande,Privada,Urbana,150,633.57,609.97,603.66,734.53,879.73,692.29
186,25306936,ESCOLA INTERNACIONAL CIDADE VIVA,Paraíba,João Pessoa,Privada,Urbana,24,612.4,610.64,606.84,717.44,862.5,681.96
188,25097539,COLEGIO E CURSO EVOLUCAO,Paraíba,João Pessoa,Privada,Urbana,71,630.14,596.76,605.1,732.48,843.38,681.57
219,25073214,ESC VIRGEM DE LOURDES,Paraíba,Campina Grande,Privada,Urbana,63,629.57,589.78,603.51,713.65,855.87,678.48
262,25129899,ISO COLEGIO E CURSOS,Paraíba,João Pessoa,Privada,Urbana,134,605.37,586.93,581.24,698.86,904.33,675.35
302,25030540,COLEGIO MONTEIRO LOBATO,Paraíba,Itaporanga,Privada,Urbana,14,597.79,570.85,606.09,718.16,867.14,672.01
397,25125494,COLEGIO TOP,Paraíba,João Pessoa,Privada,Urbana,21,593.62,581.56,591,702.58,860.95,665.94
505,25153820,CARL ROGERS - CENTRO DE EDUCACAO,Paraíba,João Pessoa,Privada,Urbana,10,605.32,586.89,592.56,701.1,820,661.17
550,25093061,COLEGIO NOSSA SENHORA DE LOURDES,Paraíba,João Pessoa,Privada,Urbana,23,603.19,591.95,590.43,679.17,827.83,658.51
675,25097326,COLEGIO GEO TAMBAU,Paraíba,João Pessoa,Privada,Urbana,94,599.5,586.85,585.34,699.23,792.55,652.69
742,25093088,COLEGIO MARISTA PIO X,Paraíba,João Pessoa,Privada,Urbana,88,606.72,573.9,586.11,680.46,800.45,649.53
940,25009087,UFCG - ESCOLA TECNICA DE SAUDE DE CAJAZEIRAS,Paraíba,Cajazeiras,Federal,Urbana,45,601.14,562.18,588.86,685.36,774.67,642.44
953,25130676,CENTRO DE ENSINO E EDUCACAO DA BORBOREMA LDTA,Paraíba,Campina Grande,Privada,Urbana,61,601.77,562.24,569.54,662.14,812.79,641.7
1073,25118285,GEO SUL,Paraíba,João Pessoa,Privada,Urbana,119,583.66,561.28,579.8,651.11,811.26,637.42
1095,25016172,COLEGIO MENINO JESUS,Paraíba,Pombal,Privada,Urbana,14,565.31,542.56,568.15,624.84,882.86,636.74
1142,25071106,COLEGIO IMACULADA CONCEICAO,Paraíba,Campina Grande,Privada,Urbana,66,589.86,568.11,574.41,640.72,802.42,635.1
1255,25090631,INSTITUTO MON SERRAT,Paraíba,Sapé,Privada,Urbana,16,573.73,563.14,566.96,639.73,811.25,630.96
1263,25093096,COLEGIO PIO XI,Paraíba,João Pessoa,Privada,Urbana,27,585.25,577,571.77,627.95,791.85,630.76
1314,25129406,CEMES - COMPLEXO EDUCACIONAL MODERNO EL SHADAY,Paraíba,Ingá,Privada,Urbana,13,575.98,549.96,552.32,638.38,830.77,629.48
1320,25129902,LIDIANE BEZERRA DE SOUSA,Paraíba,João Pessoa,Privada,Urbana,68,581.17,555.42,574.87,635.6,799.71,629.35
1449,25117955,COLEGIO MOTIVA LTDA - EPP,Paraíba,Campina Grande,Privada,Urbana,10,594.3,589.27,553.88,615.77,774,625.44
1510,25123459,VIA MEDICINA COLEGIO E CURSO LTDA,Paraíba,João Pessoa,Privada,Urbana,81,582.81,544.69,571.72,629.55,790.37,623.83
1763,25019201,COLEGIO NOSSA SRA AUXILIADORA,Paraíba,Sousa,Privada,Urbana,61,563.47,538.48,558.61,614.97,808.52,616.81
1782,25127519,AECAD - ASSOCIACAO DE EDUCACAO E CULTURA ALFREDO DANTAS,Paraíba,Campina Grande,Privada,Urbana,139,559.95,543.43,558.94,597.94,822.16,616.48
1847,25071858,MARIA DE LOURDES SARAIVA DO NASCIMENTO,Paraíba,Campina Grande,Privada,Urbana,11,577.82,530.58,569.21,602.04,794.55,614.84
1914,25206800,ANA VIRGINIA SARAIVA DO NASCIMENTO,Paraíba,Campina Grande,Privada,Urbana,75,571.33,546.24,568.08,615.66,764.8,613.22
1930,25068431,COLEGIO DA LUZ LTDA,Paraíba,Guarabira,Privada,Urbana,58,558.42,537.65,555.96,624.11,788.28,612.88
1963,25164805,FERA COLEGIO E CURSO,Paraíba,Patos,Privada,Urbana,74,568.3,560.16,561.05,660.75,710.54,612.16
1981,25213806,COLEGIO E CURSO PETRONIO FIGUEIREDO LTDA,Paraíba,Campina Grande,Privada,Urbana,44,548.5,535.1,551.05,623.61,799.55,611.56
2045,25153811,PAULO SERGIO TOSCANO VARANDAS - ME,Paraíba,João Pessoa,Privada,Urbana,19,546.44,518.72,541.36,639.97,802.11,609.72
2077,25128485,COLEGIO META LTDA,Paraíba,João Pessoa,Privada,Urbana,29,565.53,544.78,564.81,623.78,745.52,608.88
2178,25096850,IFPB - CAMPUS JOAO PESSOA,Paraíba,João Pessoa,Federal,Urbana,297,570.87,538.45,569.47,632.6,719.12,606.1
2259,25130226,COOPERATIVA DE TRABALHO INSTITUTO EDUCACIONAL COMPACTO,Paraíba,Piancó,Privada,Urbana,12,553.66,519.81,551.32,576.93,816.67,603.68
2369,25146807,CENTRO EDUCACIONAL CENECISTA PROFESSOR FELIPE TIAGO GOMES,Paraíba,João Pessoa,Privada,Urbana,25,545.1,537.73,561.93,587.98,773.6,601.27
2441,25111590,SOCIEDADE GUARABIRENSE DE EDUCACAO LTDA,Paraíba,Guarabira,Privada,Urbana,52,551.67,520.15,557.74,582.78,786.54,599.78
2477,25103253,COLEGIO DIOCESANO DOM JOAO DA MATA,Paraíba,Itaporanga,Privada,Urbana,18,559.79,492.58,525.06,583.12,834.44,599
2594,25156829,ESCOLA JOAO RIQUE FERREIRA SESI,Paraíba,Campina Grande,Privada,Urbana,27,561.37,524.86,566.81,619.13,708.89,596.21
2598,25126040,NDI COLEGIO E CURSO LTDA ME,Paraíba,Campina Grande,Privada,Urbana,18,536.72,540.17,547.23,593.39,763.33,596.17
2626,25093665,ESC CENECISTA JOAO REGIS DE AMORIM,Paraíba,João Pessoa,Privada,Urbana,11,564.43,533.25,574.06,634.96,670.91,595.52
2632,25135406,COLEGIO E CURSO ALBERT EINSTEIN,Paraíba,Sapé,Privada,Urbana,23,540.4,528.75,545.09,573.77,788.7,595.34
2717,25128612,IFPB - CAMPUS ESPERANCA,Paraíba,Esperança,Federal,Urbana,35,559.11,527.69,557.55,585.22,736.57,593.23
2737,25097784,INSTITUTO EDUCACIONAL PARAIBANO LTDA ME,Paraíba,João Pessoa,Privada,Urbana,74,558.82,534.4,560.22,605.52,704.86,592.76
2749,25092901,INTERACTIVO CRISTO COLEGIO E CURSOS EIRELI ME,Paraíba,João Pessoa,Privada,Urbana,39,542.13,520.96,543.44,580.07,775.9,592.5
2872,25107909,ESPACO EDUCACIONAL CARMELA VELOSO LTDA,Paraíba,Campina Grande,Privada,Urbana,17,555.76,518.99,564.93,564.67,743.53,589.58
2925,25137409,IFPB - CAMPUS CAMPINA GRANDE,Paraíba,Campina Grande,Federal,Urbana,254,561.5,525.76,555.81,586.88,712.52,588.49
3013,25128620,IFPB - CAMPUS ITAPORANGA,Paraíba,Itaporanga,Federal,Urbana,51,559.35,521.82,549.9,575.34,725.49,586.38
3046,25017934,COLEGIO MONTEIRO LOBATO LTDA,Paraíba,Sousa,Privada,Urbana,19,540.44,512.22,550.68,585.07,741.05,585.89
3051,25128450,COLEGIO IDEAL,Paraíba,Mamanguape,Privada,Urbana,38,541.61,517.51,550.17,595.12,724.74,585.83
3060,25302922,MASTERS GOLD COLEGIO E CURSO,Paraíba,Cajazeiras,Privada,Urbana,12,533.92,494.31,566.84,571.57,761.67,585.66
3140,25020684,COLEGIO CRISTO REI,Paraíba,Patos,Privada,Urbana,51,550.07,510.72,559.79,594.7,704.71,583.99
3221,25072609,COLEGIO AUTENTICO LTDA,Paraíba,Campina Grande,Privada,Urbana,19,551.26,512.91,550.33,580.33,715.79,582.12
3230,25007564,COLEGIO NOSSA SRA DO CARMO LTDA,Paraíba,Cajazeiras,Privada,Urbana,15,538.98,506.59,527.29,623.31,713.33,581.9
3238,25121413,EXECUTIVO COLEGIO E CURSO,Paraíba,Guarabira,Privada,Urbana,52,547.58,510.18,535.16,552.71,763.08,581.74
3254,25071882,ESCOLA DE 1 GRAU SANTO ONOFRE LTDA - ME,Paraíba,Campina Grande,Privada,Urbana,12,557.35,495.82,548.05,600.37,705,581.32
3278,25098306,ELOHIM COLEGIO E CURSO,Paraíba,João Pessoa,Privada,Urbana,12,537.37,518.19,552.1,549.28,746.67,580.72
3316,25018388,ESCOLA JOSE DE PAIVA GADELHA SESI,Paraíba,Sousa,Privada,Urbana,15,541.29,488.22,536.03,576.2,757.33,579.81
3349,25001787,COL NORMAL FRANCISCA MENDES,Paraíba,Catolé do Rocha,Privada,Urbana,15,508.93,483.55,520.25,522.31,860,579.01
3364,25062832,SISTEMA DINAMICO DE ENSINO - CANTINHO DO SABER,Paraíba,Alagoa Grande,Privada,Urbana,10,534.23,515.21,523.36,538.47,782,578.65
3400,25071068,COLEGIO DJANIRA TAVARES,Paraíba,Campina Grande,Privada,Urbana,11,540.58,527.06,534.81,562.99,723.64,577.82
3404,25020846,ESC DIONISIO MARQUES DE ALMEIDA,Paraíba,Patos,Privada,Urbana,33,549.91,519.9,550.76,590.43,677.58,577.72
3467,25128388,IFPB - CAMPUS CATOLE DO ROCHA,Paraíba,Catolé do Rocha,Federal,Urbana,60,532.26,514.38,541.26,575.3,719,576.44
3521,25008978,IFPB - CAMPUS CAJAZEIRAS,Paraíba,Cajazeiras,Federal,Urbana,110,548.98,527.94,552.62,576.14,669.82,575.1
3524,25081373,ANBEAS COLEGIO NOSSA SRA DA CONCEICAO,Paraíba,Itabaiana,Privada,Urbana,37,536.64,503.41,530.62,566.24,738.38,575.06
3538,25098080,IPI - INSTITUTO PARAIBANO INFANTIL LTDA,Paraíba,João Pessoa,Privada,Urbana,27,548.23,520.38,541.04,571.4,693.33,574.87
3545,25128590,IFPB - CAMPUS SANTA RITA,Paraíba,Santa Rita,Federal,Urbana,51,532.7,505.66,541.53,563.59,730.2,574.74
3588,25120867,SERVICO SOCIAL DO COMERCIO - SESC EDUCACAO,Paraíba,João Pessoa,Privada,Urbana,60,546.34,521.91,554.36,555.13,690,573.55
3603,25125672,COLEGIO ALICE COUTINHO LTDA,Paraíba,Campina Grande,Privada,Urbana,39,549.11,495.74,545.52,573.35,702.05,573.16
3625,25102197,CENTRO EDUCACIONAL DE BREJO DO CRUZ,Paraíba,Brejo do Cruz,Privada,Urbana,13,529.88,510.88,525.42,546.62,750.77,572.71
3670,25283928,IFPB - CAMPUS PICUI,Paraíba,Picuí,Federal,Urbana,121,532.91,505.18,534.5,565.6,721.16,571.87
3681,25101668,IEPMA - COLEGIO E CURSO,Paraíba,João Pessoa,Privada,Urbana,12,545.08,510.12,548.57,576.03,678.33,571.63
3710,25281925,IFPB - CAMPUS PATOS,Paraíba,Patos,Federal,Urbana,153,537.41,522.46,550.13,584.4,661.18,571.12
3715,25098314,INTEGRACAO CENTRO DE ENSINO LTDA,Paraíba,João Pessoa,Privada,Urbana,33,536.54,496.18,554.78,539.36,727.88,570.95
3737,25128337,ECIT JOAO PEREIRA GOMES FILHO,Paraíba,João Pessoa,Estadual,Urbana,88,540.08,484.23,541.9,551.63,733.64,570.3
3739,25113100,COLIBRI COLEGIO E CURSO,Paraíba,Itapororoca,Privada,Urbana,16,538.52,495.52,535.86,575.19,706.25,570.27
3769,25125923,IFPB - CAMPUS GUARABIRA,Paraíba,Guarabira,Federal,Urbana,95,531.8,502.16,538.84,579.13,695.79,569.54
3836,25284940,IFPB - CAMPUS MONTEIRO,Paraíba,Monteiro,Federal,Urbana,80,541.12,516.23,545.28,556.66,683,568.46
3863,25266942,COLEGIO MUNDO DAS LETRAS E EXATO COLEGIO E CURSOS,Paraíba,João Pessoa,Privada,Urbana,19,540.87,508.04,544.64,550.27,695.79,567.92
3896,25126610,COLEGIO E CURSO HBE,Paraíba,João Pessoa,Privada,Urbana,14,525.62,520.69,535.93,594.46,660,567.34
3900,25124528,COLEGIO POLIGONO,Paraíba,João Pessoa,Privada,Urbana,23,529.77,513.66,536.6,578,678.26,567.26
3919,25018280,ECI MESTRE JULIO SARMENTO,Paraíba,Sousa,Estadual,Urbana,139,534.61,485.72,531.35,561.01,721.73,566.88
3922,25071491,COLEGIO ROSA MISTICA,Paraíba,Campina Grande,Privada,Urbana,35,541.11,497.5,546.37,562.58,686.29,566.77
4015,25124170,IEG COLEGIO E CURSO,Paraíba,João Pessoa,Privada,Urbana,20,529.33,486.84,532.47,549.56,727,565.04
4044,25068458,COLEGIO SANTO ANTONIO,Paraíba,Guarabira,Privada,Urbana,41,525.92,500.55,530.01,537.73,727.32,564.31
4087,25125966,INTERAGINDO SISTEMA DE ENSINO LTDA,Paraíba,João Pessoa,Privada,Urbana,13,533.06,502.78,528.36,564.06,687.69,563.19
4098,25092448,CENTRO DE ENSINO DECISAO LTDA,Paraíba,João Pessoa,Privada,Urbana,42,533.89,512.02,543.59,550.35,674.76,562.92
4112,25205803,CORALIO SOARES DE OLIVEIRA,Paraíba,Bayeux,Privada,Urbana,36,523.62,507.76,539.81,546,695,562.44
4147,25098829,CENTRO EDUCACIONAL SANTA TEREZINHA,Paraíba,Santa Rita,Privada,Urbana,17,520.28,489.45,531.96,553.37,714.12,561.84
4228,25103269,COLEGIO JOAO HERMAN RODRIGUES DE FIGUEIREDO,Paraíba,Conceição,Privada,Urbana,10,493.45,482.54,499.43,592.78,732,560.04
4328,25092839,CEEEA SESQUICENTENARIO,Paraíba,João Pessoa,Estadual,Urbana,158,528.78,484.68,536.76,537.43,703.04,558.14
4389,25072153,ECI SEVERINO CABRAL,Paraíba,Campina Grande,Estadual,Urbana,51,538.44,492.09,539.66,534.85,680.39,557.09
4467,25018027,IFPB - CAMPUS SOUSA,Paraíba,Sousa,Federal,Urbana,59,517.67,497.48,530.56,543.11,687.46,555.25
4512,25092260,ANGLO CENTRO DE EDUCACAO LTDA,Paraíba,João Pessoa,Privada,Urbana,43,523.98,498.1,529.79,548.26,671.63,554.35
4534,25061674,COLEGIO MENINO JESUS DE PRAGA,Paraíba,Esperança,Privada,Urbana,13,507.34,513.2,526.87,558.68,663.08,553.83
4550,25090852,ESCOLA SENHOR DO BONFIM,Paraíba,Bayeux,Privada,Urbana,77,518.78,504.68,532.78,543.19,668.05,553.5
4578,25093886,ECI FRANCISCA ASCENSAO CUNHA,Paraíba,João Pessoa,Estadual,Urbana,11,519.52,482.49,520.53,540.52,701.82,552.97
4645,25087193,INSTITUTO MODERNO,Paraíba,Mamanguape,Privada,Urbana,18,510.56,472.53,520.33,574.7,677.78,551.18
4651,25303937,EDUCANDARIO PEDRO CARDOSO,Paraíba,Belém,Privada,Urbana,17,480.82,442.16,483.2,525.76,823.53,551.1
4695,25092952,COLEGIO ETHOS,Paraíba,João Pessoa,Privada,Urbana,70,529.43,494.2,529.23,535.89,662.86,550.32
4699,25106210,INSTITUTO ESCOLAR ELSHADDAY,Paraíba,Itabaiana,Privada,Urbana,16,529.54,481.79,523.29,516.72,700,550.27
4877,25079956,COLEGIO MENINO JESUS,Paraíba,Queimadas,Privada,Urbana,11,496.69,492.3,519.96,558.45,669.09,547.3
4918,25021885,INST EDUC VERA CRUZ,Paraíba,Patos,Privada,Urbana,20,542,505.12,529.55,530.46,626,546.62
4952,25093703,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,Paraíba,João Pessoa,Privada,Urbana,59,512.64,476.92,518.06,524.74,697.63,546
4998,25282921,IFPB - CAMPUS CABEDELO,Paraíba,Cabedelo,Federal,Urbana,109,522.64,490.3,534.38,541.03,636.7,545.01
5050,25094688,ECI PADRE HILDON BANDEIRA,Paraíba,João Pessoa,Estadual,Urbana,13,535.08,474.05,551.55,533.51,626.15,544.07
5083,25128604,IFPB - CAMPUS ITABAIANA,Paraíba,Itabaiana,Federal,Urbana,56,510.98,496.52,513.33,539.06,658.21,543.62
5181,25071009,CIE - CENTRO INTERATIVO DE ENSINO LTDA,Paraíba,Campina Grande,Privada,Urbana,18,500.82,483.94,532.31,518.7,674.44,542.04
5498,25072102,ECI DEP ALVARO GALDENCIO DE QUEIROZ,Paraíba,Campina Grande,Estadual,Urbana,42,525.8,480.85,518.69,503.31,658.1,537.35
5518,25043277,EECIT PROFESSOR LORDAO,Paraíba,Picuí,Estadual,Urbana,63,508.26,475.29,520.67,503.49,677.46,537.03
5568,25128787,ANGLO ZONA OESTE,Paraíba,Bayeux,Privada,Urbana,27,498.84,493.59,535.2,517.74,636.3,536.33
5596,25053124,EEEFM ALCIDES BEZERRA,Paraíba,Cabaceiras,Estadual,Urbana,43,506.31,462.93,518.18,547.87,644.65,535.99
5705,25111973,COLEGIO MENINO JESUS,Paraíba,Teixeira,Privada,Urbana,13,522.04,478.2,512.55,534.78,624.62,534.44
5757,25072420,ECIT DR ELPIDIO DE ALMEIDA,Paraíba,Campina Grande,Estadual,Urbana,246,512.38,466.69,522.14,512.72,654.31,533.65
5846,25120859,EEEFM PROF MARIA JOSE COSTA DE ALBUQUERQUE,Paraíba,Olivedos,Estadual,Urbana,39,505.52,484.48,509.13,529.47,634.36,532.59
5861,25072439,ECI HORTENCIO SOUSA RIBEIRO PREMEN,Paraíba,Campina Grande,Estadual,Urbana,156,503.17,471.56,525.95,542.27,618.72,532.33
5876,25129279,ECIT JORNALISTA JOSE ITAMAR DA ROCHA CANDIDO,Paraíba,Cuité,Estadual,Rural,78,517.34,475.46,530,535.58,602.31,532.14
5944,25007556,COLEGIO NOSSA SR¬ DE LOURDES,Paraíba,Cajazeiras,Privada,Urbana,13,494.85,462.89,505.05,526.24,667.69,531.34
5970,25094122,CPM-ESTUDANTE REBECA CRISTINA ALVES SIMOES,Paraíba,João Pessoa,Estadual,Urbana,74,504.41,460.83,515.37,521.66,653.24,531.1
5982,25117050,CENTRO INTENSIVO,Paraíba,João Pessoa,Privada,Urbana,45,503.7,473.21,521.86,503.41,652.44,530.93
5986,25097938,INSTITUTO EDUCACIONAL SANTOS DUMONT,Paraíba,João Pessoa,Privada,Urbana,34,512.5,481.31,527.89,525.11,607.65,530.89
6031,25058304,ECITE DOUTOR TRAJANO NOBREGA,Paraíba,Soledade,Estadual,Urbana,40,497.33,445.5,510.97,519.75,678.5,530.41
6049,25121251,EXTERNATO DOM PEDRO II,Paraíba,Alagoa Grande,Privada,Urbana,15,502.1,453.09,505.8,516.65,673.33,530.19
6058,25109375,INSTITUTO EDUCACIONAL ELISEU FREIRES MARIZ,Paraíba,Piancó,Privada,Urbana,12,506.53,477.45,512.2,507.84,646.67,530.14
6085,25125605,COLEGIO ATENEU,Paraíba,João Pessoa,Privada,Urbana,13,508.03,465.82,522.08,501.06,652.31,529.86
6131,25093835,EECI LUIS RAMALHO,Paraíba,João Pessoa,Estadual,Urbana,62,513.63,470.82,533.41,507.84,620.65,529.27
6143,25061402,EEEFM FRANCISCO A SILVA,Paraíba,Areial,Estadual,Urbana,37,506.01,477.17,514.84,505.09,642.7,529.16
6411,25050435,ECIT MELQUIADES VILAR,Paraíba,Taperoá,Estadual,Urbana,47,517.62,471.65,514.26,530.93,598.72,526.64
6419,25137808,SISTEMA DE ENSINO FUNDAMENTAL E MEDIO LTDA - ME - COLEGIO MASTER CENTRO,Paraíba,João Pessoa,Privada,Urbana,18,494.48,470.34,522.78,527.49,617.78,526.58
